Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Mobile_Base,-0.000901764538349642,0.00289486712536702,-0.140394651236372,0,0,0,12.2070426110808,0.100263210317857,0.000416138117875011,1.90955749720013E-07,0.0777870248737817,-4.99662188803516E-08,0.15510236958373,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Mobile_Base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Mobile_Base.STL,,Mobile_Base_body_with_Holder-1,Coordinate System37,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wheel_LF,-3.68604325448052E-05,8.74696815861276E-06,-0.000155511793327179,0,0,0,0.774041102749819,0.000555068815324583,2.15732280355057E-07,-1.85654347062673E-10,0.000555930826369468,2.27283260482476E-10,0.000988906210850007,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Wheel_LF.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Wheel_LF.STL,,NM127A-M0.4_core2_for_urdf-1,Coordinate System33,Axis33,J_Wheel_LF,continuous,-0.196999999999994,0.243373703143014,-0.410500520826094,1.5707963267949,-0.698892577239709,1.57079632679526,Mobile_Base,0,0,1,,,,,,,,,,,,
Roller_LF_1,-3.83185982943957E-10,-5.66471758389753E-10,-6.83960459935129E-08,0,0,0,0.0352584429300109,1.04260747160857E-05,-3.74985932672452E-16,3.16159847322509E-11,1.04260747162552E-05,-7.59166287983956E-12,3.24617145964053E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_1.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_1.STL,,NM127AL-3_roller_for_urdf-1,Coordinate System1,Axis1,J_Roller_LF_1,continuous,0.0495000000000021,0,0,0,0.785398163397682,1.57079632679483,Wheel_LF,0,0,-1,,,,,,,,,,,,
Roller_LF_2,-3.09857084435095E-10,1.10555134491541E-09,-4.17113807937852E-08,0,0,0,0.0352584429300112,1.04260761905347E-05,2.10247077096114E-16,-2.4788845562525E-11,1.04260761890094E-05,-2.10620761179513E-11,3.24617146052916E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_2.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_2.STL,,NM127AL-3_roller_for_urdf-2,Coordinate System2,Axis2,J_Roller_LF_2,continuous,0.0350017856687387,0.0350017856687551,0,0,0.785398163397817,2.35619449019253,Wheel_LF,0,0,-1,,,,,,,,,,,,
Roller_LF_3,7.28457724696874E-09,2.76751455086099E-09,2.27604661784397E-08,0,0,0,0.0352584429300111,1.04260768064924E-05,-1.98661171978739E-14,-3.25498755598683E-11,1.04260768503918E-05,-1.43134028288981E-12,3.2461715182147E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_3.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_3.STL,,NM127AL-3_roller_for_urdf-3,Coordinate System3,Axis3,J_Roller_LF_3,continuous,0,0.0494999999999665,0,0,0.785398163397733,-3.14159265358936,Wheel_LF,0,0,-1,,,,,,,,,,,,
Roller_LF_4,-8.85009204809606E-10,8.87345419364749E-10,-1.82681258453776E-08,0,0,0,0.035258442930011,1.04260768940346E-05,6.843225238284E-16,-1.09712169237017E-11,1.04260768941284E-05,3.06406603017413E-11,3.24617146037589E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_4.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_4.STL,,NM127AL-3_roller_for_urdf-4,Coordinate System4,Axis4,J_Roller_LF_4,continuous,-0.0350017856687272,0.0350017856687195,0,0,0.785398163397478,-2.35619449019179,Wheel_LF,0,0,-1,,,,,,,,,,,,
Roller_LF_5,1.60439110885591E-08,5.69080083057116E-09,1.2380305391968E-07,0,0,0,0.035258442930011,1.04260694141622E-05,-9.94372503073185E-14,-1.26413841544385E-11,1.04260696259208E-05,2.99325036340899E-11,3.24617174875245E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_5.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_5.STL,,NM127AL-3_roller_for_urdf-5,Coordinate System5,Axis5,J_Roller_LF_5,continuous,-0.0495000000000251,0,0,0,0.785398163397209,-1.57079632679442,Wheel_LF,0,0,-1,,,,,,,,,,,,
Roller_LF_6,-3.825635364052E-10,-1.68518193843781E-09,4.39527294560094E-08,0,0,0,0.0352584429300111,1.04260760941714E-05,-2.85658102752809E-16,2.80429237954922E-11,1.04260760917002E-05,1.65168143921329E-11,3.24617146148317E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_6.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_6.STL,,NM127AL-3_roller_for_urdf-6,Coordinate System6,Axis6,J_Roller_LF_6,continuous,-0.0350017856687449,-0.0350017856687672,0,0,0.785398163397077,-0.785398163397211,Wheel_LF,0,0,-1,,,,,,,,,,,,
Roller_LF_7,4.28941293595386E-09,8.82995787598873E-10,-1.01682179981522E-07,0,0,0,0.0352584429300109,1.04260718732603E-05,-4.33398087044761E-15,2.94154428727412E-11,1.04260718866193E-05,-1.4005428896808E-11,3.2461714747039E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_7.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_7.STL,,NM127AL-3_roller_for_urdf-7,Coordinate System7,Axis7,J_Roller_LF_7,continuous,0,-0.0494999999999995,0,0,0.785398163397161,0,Wheel_LF,0,0,-1,,,,,,,,,,,,
Roller_LF_8,-4.45606107568608E-10,-1.68479385997955E-09,4.58650017132189E-08,0,0,0,0.0352584429300115,1.04260760091362E-05,-3.83896454579771E-16,3.22721314246384E-11,1.04260760061884E-05,-4.12147536543168E-12,3.24617146194952E-06,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_8.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Mobile_Base_Holder_1/meshes/Roller_LF_8.STL,,NM127AL-3_roller_for_urdf-8,Coordinate System8,Axis8,J_Roller_LF_8,continuous,0.0350017856687419,-0.0350017856687232,0,0,0.785398163397412,0.785398163397306,Wheel_LF,0,0,-1,,,,,,,,,,,,
